behaviour	time	whistle	boat 										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
foraging	16	2,75	1,94										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
traveling	15	88,56	1										
fishing	30	175,08	2,97										
fishing	30	175,08	3,97										
fishing	30	175,08	4,97										
fishing	30	175,08	5,97										
fishing	30	175,08	6,97										
fishing	30	175,08	7,97										
fishing	30	175,08	8,97										
fishing	30	175,08	9,97										
fishing	30	175,08	10,97										
fishing	30	175,08	11,97										
fishing	30	175,08	12,97										
fishing	30	175,08	13,97										
fishing	30	175,08	14,97										
fishing	30	175,08	15,97										
fishing	30	175,08	16,97										
fishing	30	175,08	17,97										
fishing	30	175,08	18,97										
fishing	30	175,08	19,97										
fishing	30	175,08	20,97										
fishing	30	175,08	21,97										
fishing	30	175,08	22,97										
fishing	30	175,08	23,97										
fishing	30	175,08	24,97										
fishing	30	175,08	25,97										
fishing	30	175,08	26,97										
fishing	30	175,08	27,97										
fishing	30	175,08	28,97										
fishing	30	175,08	29,97										
fishing	30	175,08	30,97										
fishing	30	175,08	31,97										
socializing	26	190,17	11,62										
socializing	27	190,17	12,62										
socializing	28	190,17	13,62										
socializing	29	190,17	14,62										
socializing	30	190,17	15,62										
socializing	31	190,17	16,62										
socializing	32	190,17	17,62										
socializing	33	190,17	18,62										
socializing	34	190,17	19,62										
socializing	35	190,17	20,62										
socializing	36	190,17	21,62										
socializing	37	190,17	22,62										
socializing	38	190,17	23,62										
socializing	39	190,17	24,62										
socializing	40	190,17	25,62										
socializing	41	190,17	26,62										
socializing	42	190,17	27,62										
socializing	43	190,17	28,62										
socializing	44	190,17	29,62										
socializing	45	190,17	30,62										
socializing	46	190,17	31,62										
socializing	47	190,17	32,62										
socializing	48	190,17	33,62										
socializing	49	190,17	34,62										
socializing	50	190,17	35,62										
socializing	51	190,17	36,62										
socializing	52	190,17	37,62										
